Month,Day,2018,2019,2020,2021,2022
March,19,75,67,67,61.7,
March,20,77,68,68,60.95,
March,21,,67,,62.05,66.1
March,22,,67,,62.6,65.2
March,23,,66.5,68,61.3,64.85
March,24,,,68,61.25,65.75
March,25,,,67,61.6,65.1
March,26,,66,67,61.5,64.85
March,27,,66,66.8,60.95,
March,28,,66,67,61.65,65.35
March,29,,66,67.5,62.2,64.4
March,30,,,66,61.75,65.4
March,31,,66,67,61.45,65.3
April,1,,67,67,62.4,64.45
April,2,,,66.5,60.9,64.75
April,3,,65,66,60.2,65.2
April,4,,,66,60.55,66.1
April,5,,66,66,62.05,64.85
April,6,,66,66,61.55,65
April,7,,66,,61.15,65
April,8,75,67,64.5,60.9,65.4
April,9,,,65.5,60.8,64.2
April,10,,67,66,61,66.2
April,11,75,66,66,61.65,65.9
April,12,,65.5,65.5,61.5,65.65
April,13,,,,60.2,65.4
April,14,,,65.5,60.15,64.9
April,15,,66,66,60.25,64.5
April,16,,66.5,66,61.1,65.5
April,17,,,66.5,61,65.4
April,18,,,65.5,63,65.65
April,19,,,65,63.35,65.85
April,20,,,65,62.4,64.5
April,21,,,64.5,61.9,65.25
April,22,,67,64,61.65,65
April,23,,,64.5,61,64.05
April,24,,67.5,65,61.95,63.5
April,25,,67.5,64.5,62.25,
April,26,,66.5,64,62.35,
April,27,,67,65,62.1,
April,28,,68,64.5,61.8,
April,29,,67,65,61.85,
April,30,,66,64.5,61.75,
May,1,,67,64,61.35,
May,2,,66,63,62.8,65.95
May,3,,,64,62.35,65.1
May,4,,,63.5,62.65,65.2
May,5,,,64,62.4,65
May,6,,,63.5,62.45,
May,7,77,,64,62.3,65.75
May,8,,,63,62.68,65
May,9,76,66,64,62.6,65.75
May,10,,,64,64,66.1
May,11,,,63.5,63.6,65.4
May,12,,,63,63.6,65.3
May,13,,,64,,65.1
May,14,,68,64,62.6,65.95
May,15,,67,63.5,61.95,65.15
May,16,,66,63,62.15,65.65
May,17,,67,63.5,62.05,64.85
May,18,,67,62.5,62.1,65.05
May,19,76,68,63,62,65
May,20,,66,63,62.8,64.95
May,21,,66,63,63.75,64.5
May,22,75,65.5,63,62.8,64.65
May,23,,65,63,63.95,66.05
May,24,,66,62,63.45,
May,25,,66.5,63,62.2,65
May,26,74,66,63,62.7,65
May,27,74,67,62.5,62,66.25
May,28,74,,62,62.05,65.65
May,29,75,67,62,62.15,65.7
May,30,,65,63,62.85,65.4
May,31,73,66,62,62.95,65.2
June,1,,68,62,62.85,
June,2,,67,,62.5,65.35
June,3,75,,,62.6,66.2
June,4,,,63,62.65,66.6
June,5,,,63,63.05,
June,6,74,67,62,63.2,
June,7,72.5,67,62,63.1,
June,8,71.5,66,62,62.9,66.85
June,9,72,,62,63.15,66.3
June,10,70.5,65,62,62.85,66.75
June,11,72,,62,63.2,
June,12,74,,,63.75,
June,13,74,66,64,63.15,66.75
June,14,73,,62,62.85,67.2
June,15,73,66,62,63.9,65
June,16,,67,62,62.85,65.2
June,17,,65.5,62.5,62.95,64.9
June,18,72,65.5,62,63.1,66.15
June,19,,65.5,62,63.05,
June,20,72,,62,,65.6
June,21,,66,,62,65.65
June,22,,66,63,62.3,66.05
June,23,73,,62,62.3,66.05
June,24,,,61.5,62,65.3
June,25,72,,62,62.95,65.55
June,26,,,62,62.55,65.8
June,27,72,,62,62.4,67.1
June,28,,,,65.35,66.2
June,29,,,63,63.9,66.45
June,30,72.5,,62,62.5,65.25
July,1,72,66,62,64.25,65.95
July,2,,66,62,63,65.4
July,3,,,61,63.95,65.65
July,4,71,,62,64.05,65.6
July,5,,,,63.15,65.65
July,6,71,66,62,62.35,65.2
July,7,72,,62.5,62.25,65.65
July,8,,67,62,62.1,65.6
July,9,,66,61.5,61.75,
July,10,72,,61.5,62.05,
July,11,72,67,61,63.95,66.25
July,12,,67,61,63.1,65.75
July,13,73,67,63,62.65,66
July,14,,,62.5,62.85,65.85
July,15,73,,63,62.75,64.95
July,16,72,65,62.5,62.25,65.55
July,17,,67,61,62.75,65.9
July,18,72,67,62,64.15,66.2
July,19,,,62,,65.8
July,20,,67,62,,65.9
July,21,72,66,63,,65.9
July,22,,66.5,63,,66.1
July,23,,67,62,,66.15
July,24,,68,62,65.7,66.45
July,25,71,67.5,62,,66.5
July,26,,,62,65.2,65.5
July,27,,,63,65.45,66.45
July,28,71,,63,64.85,65.9
July,29,72,67.5,61.5,65.25,65.2
July,30,,66,62,65.45,65.2
July,31,71,66,61,,66.15
August,1,,66,62,65.9,68.4
August,2,,66,62,66.05,66.65
August,3,,,62,65.5,66.15
August,4,70,,62,65.45,67
August,5,71,67,62,64.25,66.1
August,6,70,,61,64.25,65.25
August,7,72,,61.5,65,66.65
August,8,71,67,61,66.05,66.5
August,9,71,,61.5,65.25,66.3
August,10,,66,62,65.2,66.1
August,11,,,62,64.85,65.7
August,12,72,66,62,63.35,65.25
August,13,,,61.5,65.05,66.1
August,14,71,67,61,64.9,67
August,15,72,,62,,65.7
August,16,,66.5,62,64,65.6
August,17,,,63,64.05,66.15
August,18,,,63,63.35,
August,19,74,,63,63.1,
August,20,71,,62,64.1,
August,21,,,62,63.7,
August,22,,,,,
August,23,71,,,63.4,
August,24,,,64,63.45,
August,25,71,,64,63.9,
August,26,71,,64,64.1,
August,27,,,63,63.7,
August,28,73,66,63,64.2,
August,29,70,66,63,,
August,30,,66.5,,63.45,
August,31,,,63.5,63.6,
September,1,,66,63,64.1,68.2
September,2,,66,,63.95,
September,3,,66,62,63.55,
September,4,,65,63,,
September,5,,,63.5,,
September,6,,,66,64.6,
September,7,,66,64,64.3,
September,8,,,64,64.05,65.8
September,9,,67,63,64.1,66.2
September,10,,,63,63.75,66.55
September,11,70,66.5,63,64.1,66.8
September,12,,67,63.5,64.45,68.3
September,13,70,66.5,,66.1,67.6
September,14,,,64,64,68
September,15,71,,63,64.55,67.85
September,16,71,66.5,63,64.3,66.8
September,17,71,,63,65.15,67.35
September,18,71,67,63,63.2,66.9
September,19,71,66,62,63.4,66.65
September,20,71,66,,,67.05
September,21,72,66.5,64.5,63.8,67.95
September,22,,,64,,66.75
September,23,,,63.5,63.45,65.6
September,24,71,,63,64.6,66.8
September,25,72,,63,64.1,66.2
September,26,,,64,63.7,66.85
September,27,71,,,,66.2
September,28,72,66.5,64.5,64.4,66.05
September,29,71,,64,64.85,65.45
September,30,,66.5,64,63.85,66.3
October,1,70,,,63.5,66.1
October,2,,66,,64.35,66.95
October,3,71,65.5,,65.3,66.85
October,4,,,,65.6,65.4
October,5,,65.5,,63.65,66.25
October,6,70,,,63.05,65.55
October,7,,66,,63.05,66
October,8,71,65.5,,63.2,65.6
October,9,70,65.5,,63.9,67.4
October,10,70,64.5,,64.75,67.2
October,11,70,,,63.75,64.9
October,12,70,,,63.65,65.45
October,13,70,,,64.1,64.55
October,14,70,,,63.25,65.35
October,15,,,,63,66.25
October,16,,,,63.5,65.85
October,17,,65,,64,65.7
October,18,71,65,,63.9,64.5
October,19,,64,,63.2,65.4
October,20,,65.5,,63.45,64.25
October,21,,66,,63.6,65.7
October,22,,64.5,,62.7,65.05
October,23,,65,,,65
October,24,,64,,64.15,64.75
October,25,,64,,64.55,64.35
October,26,69,,,63.9,64.25
October,27,,,,62.85,63.65
October,28,,65,,63.35,64.9
October,29,70,,,62.4,64.35
October,30,72,,,,64.15
October,31,71,,,,64.5
November,1,,,,,
November,2,,,,,
November,3,,66,,,66.2
November,4,,66,,,65.6
November,5,71,65.5,,,
November,6,72,66,,,64.7
November,7,72,65,,,65.55
November,8,,64.5,,,65.6
November,9,,,,,64.5
November,10,,,,,64.9
November,11,,64,,,
November,12,71,63.5,,,64.2
November,13,,64,,,64.15
November,14,72,63,,63.65,65.8
November,15,,65,,64.05,64.75
November,16,72,,,64.05,65.3
November,17,70,65,,63.85,64.85
November,18,,65.5,,63.45,65.4
November,19,,65,,63.85,65.3
November,20,,64.5,,,66.1
November,21,71,65,,64.35,64.75
November,22,,64,,65.05,64.85
November,23,70,,,64.45,64.65
November,24,,,,63.2,63.45
November,25,,64.5,,,
November,26,71,65,,63.9,64.15
November,27,71,65,,64.75,64.3
November,28,,,,64.5,65.35
November,29,,64.5,,64.3,64.2
November,30,,64,,63.75,64.3
December,1,,,,,63.2
December,2,,65,,,64.1
December,3,72,,,,64.6
December,4,71,,,63.4,
December,5,,,,64.05,63.75
December,6,,,,64.3,63.9
December,7,70,67,,63.5,64.85
December,8,72,,,63.8,63.7
December,9,,66,,64.3,64.4
December,10,,65.5,,63.15,64.8
December,11,,65,,63.3,66.05
December,12,70,,,63.1,64.8
December,13,71,66,,64.8,63.65
December,14,,66,,63.6,64.65
December,15,70,65,,62.9,64.65
December,16,71,65,,63.7,64.3
December,17,71,65,,63.5,65.25
December,18,,64.5,,,65.45
December,19,,65.5,,64.8,63.3
December,20,,65.5,,66.3,65.4
December,21,72,66,,64.25,
December,22,72,65,,63.3,65.4
December,23,72,65.5,63.55,63.2,66.2
December,24,71,,63.55,64.05,66.2
December,25,,67,63.65,63.75,64.8
December,26,74,67,63.85,64,65.4
December,27,,65,62.8,63.25,65.7
December,28,73,67,62.95,63.55,65.6
December,29,,65,62.7,64.6,67.7
December,30,73,66,63.55,64.55,
December,31,73,67,64.7,64.1,65.3
